array_path,enum_table,value,occurrence_count
510k.openfda.fei_number,510k_openfda_fei_number,1000015879,-
510k.openfda.fei_number,510k_openfda_fei_number,1000016009,-
510k.openfda.fei_number,510k_openfda_fei_number,1000022662,-
510k.openfda.fei_number,510k_openfda_fei_number,1000022817,-
510k.openfda.fei_number,510k_openfda_fei_number,1000027288,-
510k.openfda.fei_number,510k_openfda_fei_number,1000029611,-
510k.openfda.fei_number,510k_openfda_fei_number,1000029774,-
510k.openfda.fei_number,510k_openfda_fei_number,1000034828,-
510k.openfda.fei_number,510k_openfda_fei_number,1000036852,-
510k.openfda.fei_number,510k_openfda_fei_number,1000036860,-
510k.openfda.fei_number,510k_openfda_fei_number,1000042994,-
510k.openfda.fei_number,510k_openfda_fei_number,1000043951,-
510k.openfda.fei_number,510k_openfda_fei_number,1000049086,-
510k.openfda.fei_number,510k_openfda_fei_number,1000058335,-
510k.openfda.fei_number,510k_openfda_fei_number,1000064530,-
510k.openfda.fei_number,510k_openfda_fei_number,1000065475,-
510k.openfda.fei_number,510k_openfda_fei_number,1000069183,-
510k.openfda.fei_number,510k_openfda_fei_number,1000071265,-
510k.openfda.fei_number,510k_openfda_fei_number,1000080301,-
510k.openfda.fei_number,510k_openfda_fei_number,1000080794,-
510k.openfda.fei_number,510k_openfda_fei_number,1000086744,-
510k.openfda.fei_number,510k_openfda_fei_number,1000086912,-
510k.openfda.fei_number,510k_openfda_fei_number,1000087290,-
510k.openfda.fei_number,510k_openfda_fei_number,1000098753,-
510k.openfda.fei_number,510k_openfda_fei_number,1000099913,-
510k.openfda.fei_number,510k_openfda_fei_number,1000100754,-
510k.openfda.fei_number,510k_openfda_fei_number,1000101647,-
510k.openfda.fei_number,510k_openfda_fei_number,1000103389,-
510k.openfda.fei_number,510k_openfda_fei_number,1000103399,-
510k.openfda.fei_number,510k_openfda_fei_number,1000109362,-
510k.openfda.fei_number,510k_openfda_fei_number,1000109483,-
510k.openfda.fei_number,510k_openfda_fei_number,1000109969,-
510k.openfda.fei_number,510k_openfda_fei_number,1000110722,-
510k.openfda.fei_number,510k_openfda_fei_number,1000110779,-
510k.openfda.fei_number,510k_openfda_fei_number,1000110800,-
510k.openfda.fei_number,510k_openfda_fei_number,1000110807,-
510k.openfda.fei_number,510k_openfda_fei_number,1000110823,-
510k.openfda.fei_number,510k_openfda_fei_number,1000110890,-
510k.openfda.fei_number,510k_openfda_fei_number,1000110937,-
510k.openfda.fei_number,510k_openfda_fei_number,1000110944,-
510k.openfda.fei_number,510k_openfda_fei_number,1000110974,-
510k.openfda.fei_number,510k_openfda_fei_number,1000110991,-
510k.openfda.fei_number,510k_openfda_fei_number,1000111021,-
510k.openfda.fei_number,510k_openfda_fei_number,1000111022,-
510k.openfda.fei_number,510k_openfda_fei_number,1000111072,-
510k.openfda.fei_number,510k_openfda_fei_number,1000111140,-
510k.openfda.fei_number,510k_openfda_fei_number,1000111202,-
510k.openfda.fei_number,510k_openfda_fei_number,1000111204,-
510k.openfda.fei_number,510k_openfda_fei_number,1000111208,-
510k.openfda.fei_number,510k_openfda_fei_number,1000111286,-
510k.openfda.fei_number,510k_openfda_fei_number,1000111291,-
510k.openfda.fei_number,510k_openfda_fei_number,1000111918,-
510k.openfda.fei_number,510k_openfda_fei_number,1000111927,-
510k.openfda.fei_number,510k_openfda_fei_number,1000111947,-
510k.openfda.fei_number,510k_openfda_fei_number,1000111992,-
510k.openfda.fei_number,510k_openfda_fei_number,1000112137,-
510k.openfda.fei_number,510k_openfda_fei_number,1000112533,-
510k.openfda.fei_number,510k_openfda_fei_number,1000112635,-
510k.openfda.fei_number,510k_openfda_fei_number,1000112835,-
510k.openfda.fei_number,510k_openfda_fei_number,1000112877,-
510k.openfda.fei_number,510k_openfda_fei_number,1000112881,-
510k.openfda.fei_number,510k_openfda_fei_number,1000112898,-
510k.openfda.fei_number,510k_openfda_fei_number,1000112899,-
510k.openfda.fei_number,510k_openfda_fei_number,1000112932,-
510k.openfda.fei_number,510k_openfda_fei_number,1000112968,-
510k.openfda.fei_number,510k_openfda_fei_number,1000113153,-
510k.openfda.fei_number,510k_openfda_fei_number,1000113231,-
510k.openfda.fei_number,510k_openfda_fei_number,1000113348,-
510k.openfda.fei_number,510k_openfda_fei_number,1000113359,-
510k.openfda.fei_number,510k_openfda_fei_number,1000113384,-
510k.openfda.fei_number,510k_openfda_fei_number,1000113540,-
510k.openfda.fei_number,510k_openfda_fei_number,1000113652,-
510k.openfda.fei_number,510k_openfda_fei_number,1000113657,-
510k.openfda.fei_number,510k_openfda_fei_number,1000113735,-
510k.openfda.fei_number,510k_openfda_fei_number,1000113738,-
510k.openfda.fei_number,510k_openfda_fei_number,1000113866,-
510k.openfda.fei_number,510k_openfda_fei_number,1000113887,-
510k.openfda.fei_number,510k_openfda_fei_number,1000114015,-
510k.openfda.fei_number,510k_openfda_fei_number,1000114111,-
510k.openfda.fei_number,510k_openfda_fei_number,1000114163,-
510k.openfda.fei_number,510k_openfda_fei_number,1000114185,-
510k.openfda.fei_number,510k_openfda_fei_number,1000114355,-
510k.openfda.fei_number,510k_openfda_fei_number,1000114410,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115048,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115088,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115322,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115331,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115408,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115498,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115518,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115586,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115591,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115656,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115724,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115734,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115735,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115743,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115748,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115761,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115768,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115781,-
510k.openfda.fei_number,510k_openfda_fei_number,1000115925,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116116,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116127,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116130,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116132,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116142,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116158,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116168,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116180,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116181,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116410,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116427,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116747,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116809,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116912,-
510k.openfda.fei_number,510k_openfda_fei_number,1000116989,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117004,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117045,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117172,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117213,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117260,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117278,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117344,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117351,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117361,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117401,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117423,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117446,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117494,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117501,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117611,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117748,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117825,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117854,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117860,-
510k.openfda.fei_number,510k_openfda_fei_number,1000117913,-
