array_path,enum_table,value,occurrence_count
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000113657,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000116158,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000116912,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000117004,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000117351,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000117501,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000120743,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000121696,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000125771,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000139754,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000159144,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000162602,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000185904,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000220862,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000271197,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000305840,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000305841,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000312731,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000317571,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000432246,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000477302,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000517638,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000573518,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000582923,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1000611339,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1018233,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1020279,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1025402,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1028232,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1034569,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1037007,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1037905,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1038671,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1045254,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1119779,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1211998,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1213643,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1213809,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1216677,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1218950,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1219029,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1220246,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1220648,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1220948,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1221084,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1221359,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1221934,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1316463,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1318694,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1415939,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1416980,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1417592,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1419341,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1421101,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1526439,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1610287,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1625685,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1627487,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1628664,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1643264,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1710034,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1719513,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1818910,-
