table_name,field_name,original_path,is_array,occurrence_count,occurrence_percent,sample_value,data_type
event,manufacturer_contact_zip_ext,event.manufacturer_contact_zip_ext,No,709497,100.0%,[No sample available],VARCHAR(128)
event,manufacturer_g1_address_2,event.manufacturer_g1_address_2,No,709497,100.0%,[No sample available],TEXT
event,event_location,event.event_location,No,709497,100.0%,[No sample available],VARCHAR(255)
event,report_to_fda,event.report_to_fda,No,709497,100.0%,[No sample available],TEXT
event,manufacturer_contact_t_name,event.manufacturer_contact_t_name,No,709497,100.0%,MS,TEXT
event,manufacturer_contact_state,event.manufacturer_contact_state,No,709497,100.0%,CA,VARCHAR(255)
event,manufacturer_link_flag,event.manufacturer_link_flag,No,709497,100.0%,Y,BOOLEAN
event,manufacturer_contact_address_2,event.manufacturer_contact_address_2,No,709497,100.0%,[No sample available],TEXT
event,manufacturer_g1_city,event.manufacturer_g1_city,No,709497,100.0%,[No sample available],VARCHAR(255)
event,manufacturer_contact_address_1,event.manufacturer_contact_address_1,No,709497,100.0%,6340 SEQUENCE DR.,TEXT
event,manufacturer_contact_pcity,event.manufacturer_contact_pcity,No,709497,100.0%,85820002,DATE
event,event_type,event.event_type,No,709497,100.0%,Malfunction,VARCHAR(128)
event,report_number,event.report_number,No,709497,100.0%,3004753838-2024-305461,VARCHAR(128)
event,type_of_report,event.type_of_report,No,709497,100.0%,[Array] 示例: 'Initial submission',TEXT
event,type_of_report[],event.type_of_report[],Yes,709497,100.0%,Initial submission,TEXT
event,product_problem_flag,event.product_problem_flag,No,709497,100.0%,Y,BOOLEAN
event,date_received,event.date_received,No,709497,100.0%,20241120,DATE
event,manufacturer_address_2,event.manufacturer_address_2,No,709497,100.0%,[No sample available],TEXT
event,pma_pmn_number,event.pma_pmn_number,No,709497,100.0%,DEN170088,VARCHAR(128)
event,reprocessed_and_reused_flag,event.reprocessed_and_reused_flag,No,709497,100.0%,N,BOOLEAN
event,manufacturer_address_1,event.manufacturer_address_1,No,709497,100.0%,[No sample available],TEXT
event,exemption_number,event.exemption_number,No,709497,100.0%,[No sample available],VARCHAR(128)
event,manufacturer_contact_zip_code,event.manufacturer_contact_zip_code,No,709497,100.0%,92121,VARCHAR(128)
event,reporter_occupation_code,event.reporter_occupation_code,No,709497,100.0%,OTHER,TEXT
event,manufacturer_contact_plocal,event.manufacturer_contact_plocal,No,709497,100.0%,8582000200,VARCHAR(128)
event,noe_summarized,event.noe_summarized,No,709497,100.0%,1,VARCHAR(128)
event,manufacturer_contact_l_name,event.manufacturer_contact_l_name,No,709497,100.0%,SPOTO,TEXT
event,source_type,event.source_type,No,709497,100.0%,[Array] 示例: 'Consumer',VARCHAR(128)
event,source_type[],event.source_type[],Yes,709497,100.0%,Other,VARCHAR(128)
event,distributor_zip_code_ext,event.distributor_zip_code_ext,No,709497,100.0%,[No sample available],VARCHAR(128)
event,manufacturer_g1_postal_code,event.manufacturer_g1_postal_code,No,709497,100.0%,[No sample available],VARCHAR(128)
event,manufacturer_g1_state,event.manufacturer_g1_state,No,709497,100.0%,[No sample available],VARCHAR(255)
event,reporter_country_code,event.reporter_country_code,No,709497,100.0%,US,TEXT
