path,count,percent,is_array,is_object,depth,sample
event.adverse_event_flag,709497,100.0%,No,No,1,N
event.date_added,709497,100.0%,No,No,1,20241121
event.date_changed,709497,100.0%,No,No,1,20250110
event.date_received,709497,100.0%,No,No,1,20241120
event.device,709497,100.0%,No,No,1,[Array with 1 items]
event.device[],709497,100.0%,Yes,No,1,[Object] 示例键'device_event_key': ''
event.distributor_address_1,709497,100.0%,No,No,1,
event.distributor_address_2,709497,100.0%,No,No,1,
event.distributor_city,709497,100.0%,No,No,1,
event.distributor_name,709497,100.0%,No,No,1,
event.distributor_state,709497,100.0%,No,No,1,
event.distributor_zip_code,709497,100.0%,No,No,1,
event.distributor_zip_code_ext,709497,100.0%,No,No,1,
event.event_key,709497,100.0%,No,No,1,
event.event_location,709497,100.0%,No,No,1,
event.event_type,709497,100.0%,No,No,1,Malfunction
event.exemption_number,709497,100.0%,No,No,1,
event.health_professional,709497,100.0%,No,No,1,N
event.initial_report_to_fda,709497,100.0%,No,No,1,
event.manufacturer_address_1,709497,100.0%,No,No,1,
event.manufacturer_address_2,709497,100.0%,No,No,1,
event.manufacturer_city,709497,100.0%,No,No,1,
event.manufacturer_contact_address_1,709497,100.0%,No,No,1,6340 SEQUENCE DR.
event.manufacturer_contact_address_2,709497,100.0%,No,No,1,
event.manufacturer_contact_area_code,709497,100.0%,No,No,1,858
event.manufacturer_contact_city,709497,100.0%,No,No,1,SAN DIEGO
event.manufacturer_contact_country,709497,100.0%,No,No,1,US
event.manufacturer_contact_exchange,709497,100.0%,No,No,1,858
event.manufacturer_contact_extension,709497,100.0%,No,No,1,
event.manufacturer_contact_f_name,709497,100.0%,No,No,1,ASHLEY
event.manufacturer_contact_l_name,709497,100.0%,No,No,1,SPOTO
event.manufacturer_contact_pcity,709497,100.0%,No,No,1,85820002
event.manufacturer_contact_pcountry,709497,100.0%,No,No,1,
event.manufacturer_contact_phone_number,709497,100.0%,No,No,1,8582
event.manufacturer_contact_plocal,709497,100.0%,No,No,1,8582000200
event.manufacturer_contact_postal_code,709497,100.0%,No,No,1,92121
event.manufacturer_contact_state,709497,100.0%,No,No,1,CA
event.manufacturer_contact_t_name,709497,100.0%,No,No,1,MS
event.manufacturer_contact_zip_code,709497,100.0%,No,No,1,92121
event.manufacturer_contact_zip_ext,709497,100.0%,No,No,1,
event.manufacturer_country,709497,100.0%,No,No,1,
event.manufacturer_g1_address_1,709497,100.0%,No,No,1,
event.manufacturer_g1_address_2,709497,100.0%,No,No,1,
event.manufacturer_g1_city,709497,100.0%,No,No,1,
event.manufacturer_g1_country,709497,100.0%,No,No,1,
event.manufacturer_g1_name,709497,100.0%,No,No,1,
event.manufacturer_g1_postal_code,709497,100.0%,No,No,1,
event.manufacturer_g1_state,709497,100.0%,No,No,1,
event.manufacturer_g1_zip_code,709497,100.0%,No,No,1,
event.manufacturer_g1_zip_code_ext,709497,100.0%,No,No,1,
event.manufacturer_link_flag,709497,100.0%,No,No,1,Y
event.manufacturer_name,709497,100.0%,No,No,1,
event.manufacturer_postal_code,709497,100.0%,No,No,1,
event.manufacturer_state,709497,100.0%,No,No,1,
event.manufacturer_zip_code,709497,100.0%,No,No,1,
event.manufacturer_zip_code_ext,709497,100.0%,No,No,1,
event.mdr_report_key,709497,100.0%,No,No,1,20740705
event.mdr_text,709497,100.0%,No,No,1,[Array with 4 items]
event.mdr_text[],709497,100.0%,Yes,No,1,[Object] 示例键'mdr_text_key': '357505780'
event.noe_summarized,709497,100.0%,No,No,1,1
event.number_devices_in_event,709497,100.0%,No,No,1,
event.number_patients_in_event,709497,100.0%,No,No,1,
event.patient,709497,100.0%,No,No,1,[Array with 1 items]
event.patient[],709497,100.0%,Yes,No,1,[Object] 示例键'patient_sequence_number': '1'
event.pma_pmn_number,709497,100.0%,No,No,1,DEN170088
event.previous_use_code,709497,100.0%,No,No,1,I
event.product_problem_flag,709497,100.0%,No,No,1,Y
event.remedial_action,709497,100.0%,No,No,1,[Array] 示例: ''
event.remedial_action[],709497,100.0%,Yes,No,1,
event.removal_correction_number,709497,100.0%,No,No,1,
event.report_number,709497,100.0%,No,No,1,3004753838-2024-305461
event.report_source_code,709497,100.0%,No,No,1,Manufacturer report
event.report_to_fda,709497,100.0%,No,No,1,
event.report_to_manufacturer,709497,100.0%,No,No,1,
event.reporter_country_code,709497,100.0%,No,No,1,US
event.reporter_occupation_code,709497,100.0%,No,No,1,OTHER
event.reprocessed_and_reused_flag,709497,100.0%,No,No,1,N
event.single_use_flag,709497,100.0%,No,No,1,Y
event.source_type,709497,100.0%,No,No,1,[Array] 示例: 'Consumer'
event.source_type[],709497,100.0%,Yes,No,1,Other
event.summary_report_flag,709497,100.0%,No,No,1,N
event.suppl_dates_fda_received,709497,100.0%,No,No,1,12/20/2024
event.suppl_dates_mfr_received,709497,100.0%,No,No,1,11/27/2024
event.type_of_report,709497,100.0%,No,No,1,[Array] 示例: 'Initial submission'
event.type_of_report[],709497,100.0%,Yes,No,1,Initial submission
event.device[0].brand_name,709496,100.0%,No,No,2,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM
event.device[0].catalog_number,709496,100.0%,No,No,2,STS-OM-003
event.device[0].combination_product_flag,709496,100.0%,No,No,2,Y
event.device[0].date_received,709496,100.0%,No,No,2,20241120
event.device[0].date_removed_flag,709496,100.0%,No,No,2,
event.device[0].device_age_text,709496,100.0%,No,No,2,DA
event.device[0].device_availability,709496,100.0%,No,No,2,Device was returned to manufacturer
event.device[0].device_evaluated_by_manufacturer,709496,100.0%,No,No,2,Y
event.device[0].device_event_key,709496,100.0%,No,No,2,
event.device[0].device_operator,709496,100.0%,No,No,2,LAY USER/PATIENT
event.device[0].device_report_product_code,709496,100.0%,No,No,2,QBJ
event.device[0].device_sequence_number,709496,100.0%,No,No,2,1
event.device[0].generic_name,709496,100.0%,No,No,2,CONTINUOUS GLUCOSE MONITOR
event.device[0].implant_flag,709496,100.0%,No,No,2,
event.device[0].lot_number,709496,100.0%,No,No,2,7348625
event.device[0].manufacturer_d_address_1,709496,100.0%,No,No,2,6340 SEQUENCE DR.
event.device[0].manufacturer_d_address_2,709496,100.0%,No,No,2,
event.device[0].manufacturer_d_city,709496,100.0%,No,No,2,SAN DIEGO
event.device[0].manufacturer_d_country,709496,100.0%,No,No,2,US
event.device[0].manufacturer_d_name,709496,100.0%,No,No,2,"DEXCOM, INC."
event.device[0].manufacturer_d_postal_code,709496,100.0%,No,No,2,92121
event.device[0].manufacturer_d_state,709496,100.0%,No,No,2,CA
event.device[0].manufacturer_d_zip_code,709496,100.0%,No,No,2,92121
event.device[0].manufacturer_d_zip_code_ext,709496,100.0%,No,No,2,
event.device[0].model_number,709496,100.0%,No,No,2,9535-77
event.device[0].openfda,709496,100.0%,No,Yes,2,"[Object] 示例键'device_name': 'Integrated Continuous Glucose Monitoring System, F'"
event.device[0].other_id_number,709496,100.0%,No,No,2,
event.device[0].udi_di,709496,100.0%,No,No,2,00386270001047
event.device[0].udi_public,709496,100.0%,No,No,2,00386270001047
event.patient[0].patient_sequence_number,709496,100.0%,No,No,2,1
event.device[0].openfda.device_class,709491,100.0%,No,No,3,2
event.device[0].openfda.device_name,709491,100.0%,No,No,3,"Integrated Continuous Glucose Monitoring System, Factory Calibrated"
event.device[0].openfda.medical_specialty_description,709491,100.0%,No,No,3,Clinical Chemistry
event.device[0].openfda.regulation_number,709491,100.0%,No,No,3,862.1355
