table_name,field_name,original_path,is_array,occurrence_count,occurrence_percent,sample_value,data_type
recall,product_res_number,recall.product_res_number,No,54687,100.0%,Z-3311-2024,VARCHAR(128)
recall,event_date_initiated,recall.event_date_initiated,No,54687,100.0%,2024-08-29,DATE
recall,recall_status,recall.recall_status,No,54687,100.0%,"Open, Classified",VARCHAR(128)
recall,res_event_number,recall.res_event_number,No,54687,100.0%,95299,VARCHAR(128)
recall,product_description,recall.product_description,No,54687,100.0%,Biofinity Toric Multifocal Lenses - Soft Contact lenses Indicated for the correction of ametropia (m...,TEXT
recall,code_info,recall.code_info,No,54687,100.0%,"UDI-DI: N/A
Lot Numbers:
RB0444532
RB0450357
RB0450370
RB0450372
RB0450378
RB0450379
RB0450407
RB045...",TEXT
recall,openfda,recall.openfda,No,54687,100.0%,[Object with 7 keys],TEXT
recall,cfres_id,recall.cfres_id,No,54679,100.0%,209937,DATE
recall,root_cause_description,recall.root_cause_description,No,54676,100.0%,Process control,TEXT
recall,distribution_pattern,recall.distribution_pattern,No,54643,99.9%,Worldwide distribution - US Nationwide and the country of Canada.,TEXT
recall,reason_for_recall,recall.reason_for_recall,No,54640,99.9%,"Manufactured with a misaligned axis resulting in lenses with the incorrect power, may experience poo...",TEXT
recall,action,recall.action,No,54362,99.4%,CooperVision issued Urgent Medical Device Correction letter (Customer specific) beginning 8/30/24 to...,TEXT
recall,product_code,recall.product_code,No,54329,99.3%,LPM,TEXT
recall,recalling_firm,recall.recalling_firm,No,54048,98.8%,"CooperVision, Inc.",TEXT
recall,city,recall.city,No,51356,93.9%,West Henrietta,VARCHAR(255)
recall,state,recall.state,No,51155,93.5%,NY,VARCHAR(255)
recall,postal_code,recall.postal_code,No,51149,93.5%,14586-9798,VARCHAR(128)
recall,product_quantity,recall.product_quantity,No,51095,93.4%,2443 lenses,TEXT
recall,address_1,recall.address_1,No,50453,92.3%,180 Thruway Park Dr,TEXT
recall,additional_info_contact,recall.additional_info_contact,No,48572,88.8%,"Annette Nelson
585-756-9300",TEXT
recall,event_date_terminated,recall.event_date_terminated,No,44165,80.8%,2024-08-20,DATE
recall,event_date_posted,recall.event_date_posted,No,41106,75.2%,2024-09-30,DATE
recall,k_numbers,recall.k_numbers,No,36182,66.2%,[Array] 示例: 'K770977',TEXT
recall,k_numbers[],recall.k_numbers[],Yes,36182,66.2%,K012389,VARCHAR(128)
recall,firm_fei_number,recall.firm_fei_number,No,25156,46.0%,2517506,DATE
recall,event_date_created,recall.event_date_created,No,13581,24.8%,2022-09-02,DATE
recall,address_2,recall.address_2,No,5599,10.2%,Suite 301,TEXT
recall,other_submission_description,recall.other_submission_description,No,4969,9.1%,Exempt,TEXT
recall,pma_numbers,recall.pma_numbers,No,3126,5.7%,[Array] 示例: 'P160026',TEXT
recall,pma_numbers[],recall.pma_numbers[],Yes,3126,5.7%,P150001,VARCHAR(128)
recall_openfda,device_name,recall.openfda.device_name,No,53411,97.7%,"Lenses, Soft Contact, Extended Wear",TEXT
recall_openfda,medical_specialty_description,recall.openfda.medical_specialty_description,No,53411,97.7%,Ophthalmic,TEXT
recall_openfda,regulation_number,recall.openfda.regulation_number,No,53411,97.7%,886.5925,VARCHAR(128)
recall_openfda,device_class,recall.openfda.device_class,No,53411,97.7%,3,VARCHAR(128)
recall_openfda,registration_number,recall.openfda.registration_number,No,53112,97.1%,[Array] 示例: '3014233026',TEXT
recall_openfda,fei_number,recall.openfda.fei_number,No,53112,97.1%,[Array] 示例: '3014233026',TEXT
recall_openfda,k_number,recall.openfda.k_number,No,48377,88.5%,[Array] 示例: 'K942066',TEXT
recall_openfda,pma_number,recall.openfda.pma_number,No,6891,12.6%,[Array] 示例: 'P010019',TEXT
recall_openfda_registration_number,registration_number,recall.openfda.registration_number[],Yes,53112,97.1%,3007981285,TEXT
recall_openfda_fei_number,fei_number,recall.openfda.fei_number[],Yes,53112,97.1%,3007981285,TEXT
recall_openfda_k_number,k_number,recall.openfda.k_number[],Yes,48377,88.5%,DEN220014,TEXT
recall_openfda_pma_number,pma_number,recall.openfda.pma_number[],Yes,6891,12.6%,P150001,TEXT
