path,count,percent,is_array,is_object,depth,sample
udi.brand_name,436508,100.0%,No,No,1,Gen-X®
udi.commercial_distribution_status,436508,100.0%,No,No,1,In Commercial Distribution
udi.device_count_in_base_package,436508,100.0%,No,No,1,100
udi.gmdn_terms,436508,100.0%,No,No,1,[Array with 1 items]
udi.gmdn_terms[0].code,436508,100.0%,No,No,2,56286
udi.gmdn_terms[0].code_status,436508,100.0%,No,No,2,Active
udi.gmdn_terms[0].definition,436508,100.0%,No,No,2,A device made of nitrile intended as a protective barrier when worn on the hands of healthcare provi...
udi.gmdn_terms[0].implantable,436508,100.0%,No,No,2,false
udi.gmdn_terms[0].name,436508,100.0%,No,No,2,"Nitrile examination/treatment glove, non-powdered, non-antimicrobial"
udi.gmdn_terms[],436508,100.0%,Yes,No,1,[Object] 示例键'code': '38643'
udi.has_donation_id_number,436508,100.0%,No,No,1,false
udi.has_expiration_date,436508,100.0%,No,No,1,true
udi.has_lot_or_batch_number,436508,100.0%,No,No,1,true
udi.has_manufacturing_date,436508,100.0%,No,No,1,true
udi.has_serial_number,436508,100.0%,No,No,1,false
udi.identifiers,436508,100.0%,No,No,1,[Array with 3 items]
udi.identifiers[0].id,436508,100.0%,No,No,2,19551005270557
udi.identifiers[0].issuing_agency,436508,100.0%,No,No,2,GS1
udi.identifiers[0].type,436508,100.0%,No,No,2,Package
udi.identifiers[],436508,100.0%,Yes,No,1,[Object] 示例键'id': 'D00115116L873R0'
udi.is_labeled_as_nrl,436508,100.0%,No,No,1,false
udi.is_pm_exempt,436508,100.0%,No,No,1,false
udi.is_single_use,436508,100.0%,No,No,1,true
udi.labeler_duns_number,436508,100.0%,No,No,1,659506974
udi.mri_safety,436508,100.0%,No,No,1,Labeling does not contain MRI Safety Information
udi.product_codes,436508,100.0%,No,No,1,[Array with 1 items]
udi.product_codes[],436508,100.0%,Yes,No,1,[Object] 示例键'code': 'ELM'
udi.public_device_record_key,436508,100.0%,No,No,1,70c189e9-2b1c-44ff-b891-d483a8ab6bf5
udi.public_version_date,436508,100.0%,No,No,1,2023-11-08
udi.public_version_number,436508,100.0%,No,No,1,1
udi.public_version_status,436508,100.0%,No,No,1,New
udi.publish_date,436508,100.0%,No,No,1,2023-10-31
udi.record_status,436508,100.0%,No,No,1,Published
udi.company_name,436507,100.0%,No,No,1,SMART GLOVE INTERNATIONAL PTE. LTD.
udi.sterilization,436506,100.0%,No,Yes,1,[Object] 示例键'is_sterile': 'false'
udi.sterilization.is_sterile,436506,100.0%,No,No,2,false
udi.sterilization.is_sterilization_prior_use,436505,100.0%,No,No,2,false
udi.version_or_model_number,436503,100.0%,No,No,1,NPFEMD
udi.is_otc,436501,100.0%,No,No,1,false
udi.is_rx,436501,100.0%,No,No,1,false
udi.is_combination_product,436495,100.0%,No,No,1,false
udi.is_kit,436495,100.0%,No,No,1,false
udi.is_hct_p,436478,100.0%,No,No,1,false
udi.is_labeled_as_no_nrl,436462,100.0%,No,No,1,false
udi.is_direct_marking_exempt,436435,100.0%,No,No,1,false
udi.product_codes[0].code,433519,99.3%,No,No,2,LZA
udi.product_codes[0].name,433519,99.3%,No,No,2,Polymer Patient Examination Glove
udi.product_codes[0].openfda,433519,99.3%,No,Yes,2,[Object] 示例键'device_name': 'Polymer Patient Examination Glove'
udi.product_codes[0].openfda.device_class,433501,99.3%,No,No,3,1
udi.product_codes[0].openfda.device_name,433501,99.3%,No,No,3,Polymer Patient Examination Glove
udi.product_codes[0].openfda.medical_specialty_description,433501,99.3%,No,No,3,General Hospital
udi.product_codes[0].openfda.regulation_number,433501,99.3%,No,No,3,880.6250
udi.device_description,346448,79.4%,No,No,1,"EC Nitrile Examination Gloves, Powder Free (Chemotherapy Drugs Tested and Fentanyl Protection) Blue ..."
udi.customer_contacts,256390,58.7%,No,No,1,[Array with 1 items]
udi.customer_contacts[0].email,256390,58.7%,No,No,2,helpdesk@sasmar.com
udi.customer_contacts[0].phone,256390,58.7%,No,No,2,+3228808220
udi.customer_contacts[],256390,58.7%,Yes,No,1,[Object] 示例键'phone': '+1(800)243-1942'
udi.catalog_number,252723,57.9%,No,No,1,880814
udi.sterilization.sterilization_methods,167365,38.3%,No,No,2,Moist Heat or Steam Sterilization
udi.premarket_submissions,139219,31.9%,No,No,1,[Array with 1 items]
udi.premarket_submissions[0].submission_number,139219,31.9%,No,No,2,K131084
